country,code,happiness,health,life
Cameroon,CMR,4.513,1335687433.31,55.49
Somalia,SOM,5.44,,55.35
Nigeria,NGA,4.875,20857074591.45,52.75
Angola,AGO,3.866,4345396705.43,52.27
Chad,TCD,3.763,504146644.50,51.56
Sierra Leone,SLE,4.635,542558404.97,50.88
Egypt,,4.362,,
Taiwan,,6.379,,
Venezuela,,6.084,,
Slovakia,,6.078,,
Russia,,5.856,,
South Korea,,5.835,,
North Cyprus,,5.771,,
Hong Kong,,5.458,,
Kyrgyzstan,,5.185,,
Macedonia,,5.121,,
Somaliland region,,5.057,,
Laos,,4.876,,
Iran,,4.813,,
Palestinian Territories,,4.754,,
Congo (Kinshasa),,4.272,,
Congo (Brazzaville),,4.236,,
Ivory Coast,,3.916,,
Yemen,,3.724,,
Syria,,3.069,,
